
List of user-set options:

                                    Name   Value                used
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
              limited_memory_update_type = bfgs                  yes
                           linear_solver = mumps                 yes
                                max_iter = 600                   yes
                      nlp_scaling_method = gradient-based        yes
                             output_file = IPOPT.out             yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 0.0001                yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:        0
Number of nonzeros in inequality constraint Jacobian.:        6
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:        6
                     variables with only lower bounds:        0
                variables with lower and upper bounds:        6
                     variables with only upper bounds:        0
Total number of equality constraints.................:        0
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        1
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  9.9599152e+05 0.00e+00 3.27e-01 -11.0 3.26e-01    -  1.00e+00 1.00e+00f  1
  71  9.9543706e+05 0.00e+00 3.27e-01 -11.0 3.27e-01    -  1.00e+00 1.00e+00f  1
  72  9.9488195e+05 0.00e+00 3.27e-01 -11.0 3.27e-01    -  1.00e+00 1.00e+00f  1
  73  9.9432618e+05 0.00e+00 3.27e-01 -11.0 3.27e-01    -  1.00e+00 1.00e+00f  1
  74  9.9376976e+05 0.00e+00 3.27e-01 -11.0 3.27e-01    -  1.00e+00 1.00e+00f  1
  75  9.9321269e+05 0.00e+00 3.27e-01 -11.0 3.27e-01    -  1.00e+00 1.00e+00f  1
  76  9.9265496e+05 0.00e+00 3.28e-01 -11.0 3.27e-01    -  1.00e+00 1.00e+00f  1
  77  9.9209657e+05 0.00e+00 3.28e-01 -11.0 3.28e-01    -  1.00e+00 1.00e+00f  1
  78  9.9153753e+05 0.00e+00 3.28e-01 -11.0 3.28e-01    -  1.00e+00 1.00e+00f  1
  79  9.9097783e+05 0.00e+00 3.28e-01 -11.0 3.28e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  9.9041747e+05 0.00e+00 3.28e-01 -11.0 3.28e-01    -  1.00e+00 1.00e+00f  1
  81  9.8985645e+05 0.00e+00 3.29e-01 -11.0 3.28e-01    -  1.00e+00 1.00e+00f  1
  82  9.8929477e+05 0.00e+00 3.29e-01 -11.0 3.29e-01    -  1.00e+00 1.00e+00f  1
  83  9.8873243e+05 0.00e+00 3.29e-01 -11.0 3.29e-01    -  1.00e+00 1.00e+00f  1
  84  9.8816942e+05 0.00e+00 3.29e-01 -11.0 3.29e-01    -  1.00e+00 1.00e+00f  1
  85  9.8760575e+05 0.00e+00 3.29e-01 -11.0 3.29e-01    -  1.00e+00 1.00e+00f  1
  86  9.8704142e+05 0.00e+00 3.30e-01 -11.0 3.29e-01    -  1.00e+00 1.00e+00f  1
  87  9.8647642e+05 0.00e+00 3.30e-01 -11.0 3.30e-01    -  1.00e+00 1.00e+00f  1
  88  9.8591076e+05 0.00e+00 3.30e-01 -11.0 3.30e-01    -  1.00e+00 1.00e+00f  1
  89  9.8534442e+05 0.00e+00 3.30e-01 -11.0 3.30e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  9.8477742e+05 0.00e+00 3.30e-01 -11.0 3.30e-01    -  1.00e+00 1.00e+00f  1
  91  9.8420975e+05 0.00e+00 3.31e-01 -11.0 3.30e-01    -  1.00e+00 1.00e+00f  1
  92  9.8364141e+05 0.00e+00 3.31e-01 -11.0 3.31e-01    -  1.00e+00 1.00e+00f  1
  93  9.8307240e+05 0.00e+00 3.31e-01 -11.0 3.31e-01    -  1.00e+00 1.00e+00f  1
  94  9.8250271e+05 0.00e+00 3.31e-01 -11.0 3.31e-01    -  1.00e+00 1.00e+00f  1
  95  9.8193236e+05 0.00e+00 3.31e-01 -11.0 3.31e-01    -  1.00e+00 1.00e+00f  1
  96  9.8136132e+05 0.00e+00 3.32e-01 -11.0 3.31e-01    -  1.00e+00 1.00e+00f  1
  97  9.8078962e+05 0.00e+00 3.32e-01 -11.0 3.32e-01    -  1.00e+00 1.00e+00f  1
  98  9.8021723e+05 0.00e+00 3.32e-01 -11.0 3.32e-01    -  1.00e+00 1.00e+00f  1
  99  9.7964417e+05 0.00e+00 3.32e-01 -11.0 3.32e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  9.7907043e+05 0.00e+00 3.32e-01 -11.0 3.32e-01    -  1.00e+00 1.00e+00f  1
 101  9.7849602e+05 0.00e+00 3.33e-01 -11.0 3.32e-01    -  1.00e+00 1.00e+00f  1
 102  9.7792092e+05 0.00e+00 3.33e-01 -11.0 3.33e-01    -  1.00e+00 1.00e+00f  1
 103  9.7734514e+05 0.00e+00 3.33e-01 -11.0 3.33e-01    -  1.00e+00 1.00e+00f  1
 104  9.7676868e+05 0.00e+00 3.33e-01 -11.0 3.33e-01    -  1.00e+00 1.00e+00f  1
 105  9.7619154e+05 0.00e+00 3.33e-01 -11.0 3.33e-01    -  1.00e+00 1.00e+00f  1
 106  9.7561371e+05 0.00e+00 3.34e-01 -11.0 3.33e-01    -  1.00e+00 1.00e+00f  1
 107  9.7503520e+05 0.00e+00 3.34e-01 -11.0 3.34e-01    -  1.00e+00 1.00e+00f  1
 108  9.7445600e+05 0.00e+00 3.34e-01 -11.0 3.34e-01    -  1.00e+00 1.00e+00f  1
 109  9.7387612e+05 0.00e+00 3.34e-01 -11.0 3.34e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  9.7329555e+05 0.00e+00 3.34e-01 -11.0 3.34e-01    -  1.00e+00 1.00e+00f  1
 111  9.7271429e+05 0.00e+00 3.35e-01 -11.0 3.34e-01    -  1.00e+00 1.00e+00f  1
 112  9.7213234e+05 0.00e+00 3.35e-01 -11.0 3.35e-01    -  1.00e+00 1.00e+00f  1
 113  9.7154970e+05 0.00e+00 3.35e-01 -11.0 3.35e-01    -  1.00e+00 1.00e+00f  1
 114  9.7096637e+05 0.00e+00 3.35e-01 -11.0 3.35e-01    -  1.00e+00 1.00e+00f  1
 115  9.7038234e+05 0.00e+00 3.35e-01 -11.0 3.35e-01    -  1.00e+00 1.00e+00f  1
 116  9.6979763e+05 0.00e+00 3.36e-01 -11.0 3.35e-01    -  1.00e+00 1.00e+00f  1
 117  9.6921221e+05 0.00e+00 3.36e-01 -11.0 3.36e-01    -  1.00e+00 1.00e+00f  1
 118  9.6862610e+05 0.00e+00 3.36e-01 -11.0 3.36e-01    -  1.00e+00 1.00e+00f  1
 119  9.6803930e+05 0.00e+00 3.36e-01 -11.0 3.36e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  9.6745180e+05 0.00e+00 3.36e-01 -11.0 3.36e-01    -  1.00e+00 1.00e+00f  1
 121  9.6686360e+05 0.00e+00 3.37e-01 -11.0 3.36e-01    -  1.00e+00 1.00e+00f  1
 122  9.6627470e+05 0.00e+00 3.37e-01 -11.0 3.37e-01    -  1.00e+00 1.00e+00f  1
 123  9.6568509e+05 0.00e+00 3.37e-01 -11.0 3.37e-01    -  1.00e+00 1.00e+00f  1
 124  9.6509479e+05 0.00e+00 3.37e-01 -11.0 3.37e-01    -  1.00e+00 1.00e+00f  1
 125  9.6450379e+05 0.00e+00 3.37e-01 -11.0 3.37e-01    -  1.00e+00 1.00e+00f  1
 126  9.6391208e+05 0.00e+00 3.38e-01 -11.0 3.37e-01    -  1.00e+00 1.00e+00f  1
 127  9.6331967e+05 0.00e+00 3.38e-01 -11.0 3.38e-01    -  1.00e+00 1.00e+00f  1
 128  9.6272655e+05 0.00e+00 3.38e-01 -11.0 3.38e-01    -  1.00e+00 1.00e+00f  1
 129  9.6213273e+05 0.00e+00 3.38e-01 -11.0 3.38e-01    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  9.6153819e+05 0.00e+00 3.38e-01 -11.0 3.38e-01    -  1.00e+00 1.00e+00f  1
 131  9.6094295e+05 0.00e+00 3.39e-01 -11.0 3.38e-01    -  1.00e+00 1.00e+00f  1
 132  9.6034700e+05 0.00e+00 3.39e-01 -11.0 3.39e-01    -  1.00e+00 1.00e+00f  1
 133  9.5975034e+05 0.00e+00 3.39e-01 -11.0 3.39e-01    -  1.00e+00 1.00e+00f  1
 134  9.5915297e+05 0.00e+00 3.39e-01 -11.0 3.39e-01    -  1.00e+00 1.00e+00f  1
 135  9.5855489e+05 0.00e+00 3.39e-01 -11.0 3.39e-01    -  1.00e+00 1.00e+00f  1
